  0.102200000000000E+001 -0.123170237471640E+002 -0.290394876706674E+002 -0.314900825071863E+002 -0.213878479685170E+002 -0.531429145536710E+001  0.763189692269020E+001  0.188428724360962E+002  0.294994554061297E+002  0.370177761801041E+002  0.343445954863097E+002  0.190786986511351E+002  0.454593353464887E-001 -0.127312166184971E+002 -0.173410149152517E+002 -0.163392508433123E+002 -0.949482304308908E+001 -0.521565757854489E+000  0.428709986509466E+002  0.411434475731184E+003  0.298889432933815E+003  0.618702124810930E+002 -0.663584636074583E+003 -0.501948467814222E+003 -0.222351533377779E+003 -0.149866702501405E+003 -0.105492436035328E+003 -0.710131382149995E+002 -0.384218579814968E+002  0.111229194074906E+000  0.411290446030178E+002  0.698636161852872E+002  0.754085040295246E+002  0.634253533874924E+002  0.456674619730255E+002  0.272364611225901E+002  0.729388923060577E+001 -0.152114876716361E+002 -0.304991034086193E+002 -0.304885310650642E+002 -0.133148632835211E+002
  0.102400000000000E+001 -0.123141728437580E+002 -0.290325998842978E+002 -0.314823176688976E+002 -0.213821680171624E+002 -0.531295761393772E+001  0.762870630978875E+001  0.188353544104403E+002  0.294879519439160E+002  0.370035990644393E+002  0.343310321602142E+002  0.190702601899056E+002  0.454345186882585E-001 -0.127217613390279E+002 -0.173217721205741E+002 -0.163081940626325E+002 -0.944759592575504E+001 -0.450503508969090E+000  0.430297107585512E+002  0.411672226466835E+003  0.298870835803415E+003  0.616791299837253E+002 -0.664134043252473E+003 -0.502192134949606E+003 -0.222445644776442E+003 -0.149925058078901E+003 -0.105529296005247E+003 -0.710353669632819E+002 -0.384325688921657E+002  0.111256863846753E+000  0.411383505078186E+002  0.698784352883348E+002  0.754238841507727E+002  0.634377694137022E+002  0.456755565634685E+002  0.272399289183659E+002  0.729258776083844E+001 -0.152173004520844E+002 -0.305070403420477E+002 -0.304955355808108E+002 -0.133177481824347E+002
  0.102600000000000E+001 -0.123121844445666E+002 -0.290278255746022E+002 -0.314770150536910E+002 -0.213784516390939E+002 -0.531241317063684E+001  0.762594492322166E+001  0.188294213740728E+002  0.294790905923150E+002  0.369927890631423E+002  0.343207375672442E+002  0.190638659235705E+002  0.454157163643808E-001 -0.127145943848040E+002 -0.173071788563061E+002 -0.162846310563144E+002 -0.941175098231640E+001 -0.396557047550123E+000  0.431502068786506E+002  0.411852759651389E+003  0.298856674781680E+003  0.615339354205130E+002 -0.664551261789478E+003 -0.502377047932719E+003 -0.222517022446066E+003 -0.149969289860172E+003 -0.105557214762149E+003 -0.710521911864741E+002 -0.384406694006153E+002  0.111277776425716E+000  0.411453833633233E+002  0.698896503846102E+002  0.754355732999468E+002  0.634472973894012E+002  0.456819131659588E+002  0.272428992888343E+002  0.729207794629975E+001 -0.152210997896990E+002 -0.305124559819944E+002 -0.305003868263259E+002 -0.133197586320400E+002
  0.102800000000000E+001 -0.123107690355533E+002 -0.290244491779760E+002 -0.314733248324163E+002 -0.213759892108045E+002 -0.531231370491111E+001  0.762357902202633E+001  0.188246831600695E+002  0.294721568486735E+002  0.369844054881002E+002  0.343127860020126E+002  0.190589341235068E+002  0.454012157919124E-001 -0.127090647951361E+002 -0.172959140648809E+002 -0.162664348269130E+002 -0.938406043039144E+001 -0.354874932038708E+000  0.432433172161941E+002  0.411992287327596E+003  0.298845709529350E+003  0.614216674460460E+002 -0.664873690220043E+003 -0.502519856073075E+003 -0.222572115824145E+003 -0.150003409299280E+003 -0.105578735195181E+003 -0.710651499417247E+002 -0.384469038252694E+002  0.111293860125030E+000  0.411507912118672E+002  0.698982834757878E+002  0.754446032161017E+002  0.634547177339190E+002  0.456869582568232E+002  0.272454151660825E+002  0.729200223081151E+001 -0.152236227638395E+002 -0.305162276089462E+002 -0.305038181751950E+002 -0.133211896166111E+002
  0.103000000000000E+001 -0.123097418187422E+002 -0.290220155088810E+002 -0.314707104751405E+002 -0.213743405501616E+002 -0.531245941681681E+001  0.762155927791956E+001  0.188208550484831E+002  0.294666513555786E+002  0.369778003455794E+002  0.343065436054503E+002  0.190550673316104E+002  0.453898473036363E-001 -0.127047278349224E+002 -0.172870748250689E+002 -0.162521510893296E+002 -0.936231666188328E+001 -0.322138573576530E+000  0.433164502856163E+002  0.412101898559711E+003  0.298837084581000E+003  0.613334439155654E+002 -0.665126938374853E+003 -0.502631953519490E+003 -0.222615337039516E+003 -0.150030159746696E+003 -0.105595595660192E+003 -0.710752949915387E+002 -0.384517806705496E+002  0.111306432256314E+000  0.411550170983243E+002  0.699050352089995E+002  0.754516861356143E+002  0.634605779713000E+002  0.456910055015081E+002  0.272475371831232E+002  0.729215745493859E+001 -0.152253226810971E+002 -0.305189061390225E+002 -0.305062943615517E+002 -0.133222288360509E+002
  0.103200000000000E+001 -0.123089825522398E+002 -0.290202294349536E+002 -0.314688268342756E+002 -0.213732277930799E+002 -0.531273373800903E+001  0.761983494193935E+001  0.188177278074374E+002  0.294622200773042E+002  0.369725199935343E+002  0.343015689882390E+002  0.190519893088559E+002  0.453807981906173E-001 -0.127012743879250E+002 -0.172800332855204E+002 -0.162407682285373E+002 -0.934498355248964E+001 -0.296038407326490E+000  0.433747623400443E+002  0.412189311383719E+003  0.298830200882932E+003  0.612630739780129E+002 -0.665328845136827E+003 -0.502721272514009E+003 -0.222649756562494E+003 -0.150051449673496E+003 -0.105609004987105E+003 -0.710833574395136E+002 -0.384556532850984E+002  0.111316408049107E+000  0.411583690143944E+002  0.699103938005500E+002  0.754573213259491E+002  0.634652672305880E+002  0.456942864767235E+002  0.272493267214175E+002  0.729242787089474E+001 -0.152264833236062E+002 -0.305208442153915E+002 -0.305081156480360E+002 -0.133229980688447E+002
  0.103400000000000E+001 -0.123084115623571E+002 -0.290188961089938E+002 -0.314674479129731E+002 -0.213724726711333E+002 -0.531306862978811E+001  0.761835960064372E+001  0.188151463483752E+002  0.294586084303899E+002  0.369682418476556E+002  0.342975497728512E+002  0.190495048907972E+002  0.453734943893266E-001 -0.126984860296015E+002 -0.172743456079218E+002 -0.162315708534469E+002 -0.933097444054382E+001 -0.274940347736759E+000  0.434219018805414E+002  0.412259987476034E+003  0.298824632584722E+003  0.612061718205952E+002 -0.665492041221670E+003 -0.502793426424079E+003 -0.222677546467020E+003 -0.150068628653086E+003 -0.105619817630746E+003 -0.710898538474167E+002 -0.384587712272197E+002  0.111324433745850E+000  0.411610645221376E+002  0.699147048110356E+002  0.754618640086941E+002  0.634690656703371E+002  0.456969732177198E+002  0.272508392143570E+002  0.729274778037114E+001 -0.152272853221420E+002 -0.305222716943581E+002 -0.305094796377720E+002 -0.133235777972662E+002
  0.103600000000000E+001 -0.123079751332677E+002 -0.290178846605747E+002 -0.314664232280735E+002 -0.213719590759828E+002 -0.531342464473599E+001  0.761709302903515E+001  0.188129946125059E+002  0.294556307910878E+002  0.369647330328615E+002  0.342942614210268E+002  0.190474740072393E+002  0.453675239572686E-001 -0.126962059638882E+002 -0.172696930459619E+002 -0.162240450117755E+002 -0.931950839660319E+001 -0.257669848093652E+000  0.434604916188212E+002  0.412317853464887E+003  0.298820072480082E+003  0.611595815749867E+002 -0.665625610720084E+003 -0.502852450356028E+003 -0.222700267552131E+003 -0.150082666088298E+003 -0.105628647073500E+003 -0.710951549318862E+002 -0.384613135158537E+002  0.111330972782413E+000  0.411632596832052E+002  0.699182165390422E+002  0.754655705820121E+002  0.634721775944114E+002  0.456991945104076E+002  0.272521221516364E+002  0.729308037960766E+001 -0.152278454584147E+002 -0.305233410094105E+002 -0.305105186797445E+002 -0.133240221581364E+002
  0.103800000000000E+001 -0.123076364448227E+002 -0.290171057338485E+002 -0.314656509648913E+002 -0.213716103156861E+002 -0.531377930528148E+001  0.761600130827059E+001  0.188111848747325E+002  0.294531499809190E+002  0.369618229802243E+002  0.342915401108798E+002  0.190457946050903E+002  0.453625867951819E-001 -0.126943199241895E+002 -0.172658432128436E+002 -0.162178158651012E+002 -0.931001569268678E+001 -0.243369864327627E+000  0.434924454836736E+002  0.412365775267224E+003  0.298816295772730E+003  0.611209983186720E+002 -0.665736185292954E+003 -0.502901288613481E+003 -0.222719058268056E+003 -0.150094268787830E+003 -0.105635940409410E+003 -0.710995307377001E+002 -0.384634104933392E+002  0.111336362461108E+000  0.411650681017661E+002  0.699211099922101E+002  0.754686286990347E+002  0.634747538718451E+002  0.457010475878957E+002  0.272532151312486E+002  0.729340562465912E+001 -0.152282403538678E+002 -0.305241549356594E+002 -0.305113229234152E+002 -0.133243681877717E+002
  0.104000000000000E+001 -0.123073698544848E+002 -0.290164973516090E+002 -0.314650611792626E+002 -0.213713750671029E+002 -0.531412024624272E+001  0.761505624096216E+001  0.188096501489973E+002  0.294510632966399E+002  0.369593850096347E+002  0.342892646049530E+002  0.190443912542142E+002  0.453584611124038E-001 -0.126927434313902E+002 -0.172626242318862E+002 -0.162126060821469E+002 -0.930207467956023E+001 -0.231405999178750E+000  0.435191803311116E+002  0.412405874843915E+003  0.298813135697632E+003  0.610887145554515E+002 -0.665828675647924E+003 -0.502942120404227E+003 -0.222734760917789E+003 -0.150103959488356E+003 -0.105642028141049E+003 -0.711031807916607E+002 -0.384651584167975E+002  0.111340851776884E+000  0.411665736448368E+002  0.699235189597108E+002  0.754711775419623E+002  0.634769072801799E+002  0.457026065208750E+002  0.272541507079707E+002  0.729371319586830E+001 -0.152285209855286E+002 -0.305247838764584E+002 -0.305119547755208E+002 -0.133246416382778E+002
  0.104200000000000E+001 -0.123071572307464E+002 -0.290160158749362E+002 -0.314646051173347E+002 -0.213712185652640E+002 -0.531444112755450E+001  0.761423454578948E+001  0.188083387649715E+002  0.294492928800075E+002  0.369573237809963E+002  0.342873439550232E+002  0.190432074344326E+002  0.453549807324358E-001 -0.126914131683593E+002 -0.172599072318844E+002 -0.162082076550591E+002 -0.929536901695604E+001 -0.221302222224096E+000  0.435417594190586E+002  0.412439744863427E+003  0.298810466904015E+003  0.610614481728251E+002 -0.665906767663875E+003 -0.502976580648711E+003 -0.222748007191085E+003 -0.150112130060442E+003 -0.105647157911810E+003 -0.711062545236627E+002 -0.384666293377333E+002  0.111344627028267E+000  0.411678390603979E+002  0.699255436424701E+002  0.754733216672692E+002  0.634787231226638E+002  0.457039282526144E+002  0.272549554639161E+002  0.729399838524760E+001 -0.152287217190493E+002 -0.305252768015305E+002 -0.305124581141388E+002 -0.133248606967534E+002
  0.104400000000000E+001 -0.123069855653422E+002 -0.290156301318108E+002 -0.314642483209815E+002 -0.213711169967885E+002 -0.531473917882537E+001  0.761351704634390E+001  0.188072104675391E+002  0.294477789981289E+002  0.369555666291163E+002  0.342857090490052E+002  0.190422002409759E+002  0.453520195176828E-001 -0.126902810584844E+002 -0.172575943256350E+002 -0.162044625379189E+002 -0.928965828380447E+001 -0.212696692423377E+000  0.435609910197736E+002  0.412468596252810E+003  0.298808193982142E+003  0.610382240571576E+002 -0.665973263618009E+003 -0.503005911782636E+003 -0.222759276952235E+003 -0.150119078067757E+003 -0.105651517677174E+003 -0.711088652903517E+002 -0.384678778848888E+002  0.111347829399010E+000  0.411689118966933E+002  0.699272600336661E+002  0.754751405820483E+002  0.634802666573540E+002  0.457050569609429E+002  0.272556510516722E+002  0.729425967919591E+001 -0.152288660124210E+002 -0.305256682756338E+002 -0.305128642535228E+002 -0.133250384010051E+002
  0.104600000000000E+001 -0.123068453952288E+002 -0.290153175477128E+002 -0.314639661123619E+002 -0.213710538833252E+002 -0.531501371618321E+001  0.761288794084978E+001  0.188062335889467E+002  0.294464752983936E+002  0.369540575022945E+002  0.342843067213055E+002  0.190413367007246E+002  0.453494805344597E-001 -0.126893101451153E+002 -0.172556102414862E+002 -0.162012491644606E+002 -0.928475750712408E+001 -0.205310981963229E+000  0.435774971239448E+002  0.412493361008751E+003  0.298806243440754E+003  0.610182915311295E+002 -0.666030320057802E+003 -0.503031069535443E+003 -0.222768939193350E+003 -0.150125032228518E+003 -0.105655251837089E+003 -0.711111001357392E+002 -0.384689459838078E+002  0.111350567189738E+000  0.411698286219747E+002  0.699287264588312E+002  0.754766954505678E+002  0.634815883533514E+002  0.457060272307056E+002  0.272562551148912E+002  0.729449733436480E+001 -0.152289700673409E+002 -0.305259830417435E+002 -0.305131958632281E+002 -0.133251842320955E+002
