# Chordwise load of component: wing_left
# spanwise_location: -.239 ; chord_length: 0.529
# n_chord : 40 ; n_time : 150. Next lines: x_chord , z_chord
  0.870441397056144E+000  0.861386374149259E+000  0.843499271294351E+000  0.817216046359962E+000  0.783149764328448E+000  0.742108355638019E+000  0.695101760693351E+000  0.643288047164061E+000  0.587935220161035E+000  0.530389554624608E+000  0.472063778863639E+000  0.414417429788128E+000  0.358906539390424E+000  0.306926553758862E+000  0.259778998760267E+000  0.218653340147465E+000  0.184595847107115E+000  0.158812615215566E+000  0.143601457621712E+000  0.138584547876616E+000  0.138584510089919E+000  0.143601331543792E+000  0.158812428241180E+000  0.184595653336300E+000  0.218653154982543E+000  0.259778824739134E+000  0.306926392867067E+000  0.358906393130373E+000  0.414417299243586E+000  0.472063664719590E+000  0.530389457131175E+000  0.587935139101220E+000  0.643287981884788E+000  0.695101710165732E+000  0.742108318491032E+000  0.783149738869056E+000  0.817216030598300E+000  0.843499263001587E+000  0.861386370932957E+000  0.870441396409701E+000
 -0.298062248970581E-003 -0.148273352211233E-002 -0.382273921615563E-002 -0.722561379241754E-002 -0.113256417069256E-001 -0.157378109069370E-001 -0.202987637212817E-001 -0.248555671281800E-001 -0.291412006537958E-001 -0.326862181043383E-001 -0.349799722606736E-001 -0.357588231850577E-001 -0.351163612087635E-001 -0.333402097429814E-001 -0.306636683597433E-001 -0.271934485993119E-001 -0.230925647034814E-001 -0.176253198166008E-001 -0.940585117699618E-002 -0.223913352249902E-002  0.223892937502841E-002  0.940569928209764E-002  0.176252491635377E-001  0.230925360887276E-001  0.271934293726931E-001  0.306636559751502E-001  0.333402022876320E-001  0.351163576509351E-001  0.357588231204467E-001  0.349799751913935E-001  0.326862230302763E-001  0.291412063264988E-001  0.248555725364805E-001  0.202987683734349E-001  0.157378146766376E-001  0.113256445939668E-001  0.722561576661048E-002  0.382274030076988E-002  0.148273394284742E-002  0.298062333548014E-003
# t, Cp
  0.100000000000000E+001  0.436323250541178E+000  0.330529024371284E+000  0.194658918499490E+000  0.677820325136365E-001 -0.271921682398407E-001 -0.856820800310396E-001 -0.125698694385027E+000 -0.159506530433208E+000 -0.190092497607962E+000 -0.206703876161495E+000 -0.194482817807109E+000 -0.150391424347994E+000 -0.869721479957195E-001 -0.209224086211892E-001  0.412550077256061E-001  0.104678790956334E+000  0.145695304718371E+000  0.256346076488865E+000  0.970433843946663E+000  0.158190410556109E+001  0.680671964878946E+000 -0.899828228052942E+000 -0.120166705642391E+001 -0.806955334254081E+000 -0.628467532726821E+000 -0.585369170836854E+000 -0.578696263614305E+000 -0.594746617635852E+000 -0.616372748141190E+000 -0.621118835776728E+000 -0.595012763776652E+000 -0.542098663722434E+000 -0.478374005112936E+000 -0.415074353214555E+000 -0.350210261691082E+000 -0.273804914453089E+000 -0.170912411922257E+000 -0.469098077907018E-001  0.788625159534465E-001  0.175313932999288E+000
  0.102200000000000E+001  0.413346755527835E+000  0.327622461596264E+000  0.216724621629398E+000  0.109742190225081E+000  0.247209553993742E-001 -0.337506910499699E-001 -0.819673372750627E-001 -0.130706152242237E+000 -0.182564379278361E+000 -0.226478461778648E+000 -0.245639457902436E+000 -0.233157067759589E+000 -0.197618148203214E+000 -0.153268292336082E+000 -0.105800229377032E+000 -0.493276011009842E-001 -0.239582969430728E-002  0.130281474319706E+000  0.835179627660834E+000  0.133525098351474E+001  0.276345256276797E+000 -0.134706253174151E+001 -0.152529540210445E+001 -0.102238857218858E+001 -0.778587522116372E+000 -0.683083076297153E+000 -0.627645889042541E+000 -0.596394498322891E+000 -0.570979810214365E+000 -0.529539822684514E+000 -0.460701606590323E+000 -0.371900186703078E+000 -0.281025915122322E+000 -0.198657710313242E+000 -0.120454632488888E+000 -0.339198117351274E-001  0.780537214899481E-001  0.209906061081051E+000  0.343971631275656E+000  0.446834006436701E+000
  0.102400000000000E+001  0.413251081470305E+000  0.327544753143875E+000  0.216671180877438E+000  0.109713045499374E+000  0.247147501256610E-001 -0.337365809899421E-001 -0.819346333677039E-001 -0.130655182550070E+000 -0.182494460328039E+000 -0.226389020850667E+000 -0.245530811668678E+000 -0.233029784538944E+000 -0.197471379475881E+000 -0.153098214497115E+000 -0.105599129192440E+000 -0.490822443505294E-001 -0.206907631627779E-002  0.130763769946203E+000  0.835662250036543E+000  0.133516788076993E+001  0.275491549840420E+000 -0.134817783019965E+001 -0.152603586431891E+001 -0.102282131262604E+001 -0.778890696188842E+000 -0.683321754856798E+000 -0.627842359081394E+000 -0.596560757781286E+000 -0.571121850539014E+000 -0.529659637925118E+000 -0.460799328813092E+000 -0.371976038845225E+000 -0.281080928352893E+000 -0.198692922437827E+000 -0.120469968491510E+000 -0.339137570627222E-001  0.780835477042969E-001  0.209960686174621E+000  0.344050656598882E+000  0.446930821295993E+000
  0.102600000000000E+001  0.413184352368134E+000  0.327490889056758E+000  0.216634686098467E+000  0.109693976087659E+000  0.247122168510468E-001 -0.337243689595458E-001 -0.819088242109604E-001 -0.130615919533741E+000 -0.182441147370799E+000 -0.226321135014080E+000 -0.245448484727458E+000 -0.232933348539622E+000 -0.197360131132417E+000 -0.152969231709990E+000 -0.105446553123107E+000 -0.488960210060177E-001 -0.182102375734928E-002  0.131129934165787E+000  0.836028723198011E+000  0.133510460121419E+001  0.274842859321940E+000 -0.134902478440461E+001 -0.152659778230094E+001 -0.102314951916490E+001 -0.779120492876953E+000 -0.683502536444610E+000 -0.627991060827762E+000 -0.596686497361061E+000 -0.571229203361993E+000 -0.529750187203179E+000 -0.460873284967566E+000 -0.372033687740568E+000 -0.281123145160392E+000 -0.198720574228669E+000 -0.120483104832830E+000 -0.339113848820396E-001  0.781030427373434E-001  0.209997958771863E+000  0.344105388623946E+000  0.446998290348213E+000
  0.102800000000000E+001  0.413136852359400E+000  0.327452796306941E+000  0.216609288445791E+000  0.109681340847616E+000  0.247117534975801E-001 -0.337139058348755E-001 -0.818882125847927E-001 -0.130585197378599E+000 -0.182399801105950E+000 -0.226268699863071E+000 -0.245384987235887E+000 -0.232858975999475E+000 -0.197274298663539E+000 -0.152869667739226E+000 -0.105328728289623E+000 -0.487521618501407E-001 -0.162936435087779E-002  0.131412878074440E+000  0.836311956995485E+000  0.133505560224433E+001  0.274341276489480E+000 -0.134967931394729E+001 -0.152703175069482E+001 -0.102340284758074E+001 -0.779297752937797E+000 -0.683641887042038E+000 -0.628105597372954E+000 -0.596783270735009E+000 -0.571311767534078E+000 -0.529819814200068E+000 -0.460930214489811E+000 -0.372078221749393E+000 -0.281156023432520E+000 -0.198742520860396E+000 -0.120494231287159E+000 -0.339110320197819E-001  0.781159886029310E-001  0.210023916642347E+000  0.344144101304953E+000  0.447046313026366E+000
  0.103000000000000E+001  0.413102379770982E+000  0.327425339466055E+000  0.216591295315486E+000  0.109672881161666E+000  0.247124306842219E-001 -0.337049735171957E-001 -0.818715599555688E-001 -0.130560803531994E+000 -0.182367225746980E+000 -0.226227535522981E+000 -0.245335201863003E+000 -0.232800667749453E+000 -0.197206978691090E+000 -0.152791542073477E+000 -0.105236237811839E+000 -0.486391977603269E-001 -0.147883873335160E-002  0.131635114828540E+000  0.836534461797816E+000  0.133501706111989E+001  0.273947118056791E+000 -0.135019340712039E+001 -0.152737239450198E+001 -0.102360158568764E+001 -0.779436728922915E+000 -0.683751063024635E+000 -0.628195264806285E+000 -0.596858971152145E+000 -0.571376305372410E+000 -0.529874223209973E+000 -0.460974737691160E+000 -0.372113153500262E+000 -0.281181989145592E+000 -0.198760126786647E+000 -0.120503615951773E+000 -0.339117534700736E-001  0.781247112575753E-001  0.210042351396674E+000  0.344172037793834E+000  0.447081188386556E+000
  0.103200000000000E+001  0.413076899380888E+000  0.327405188834330E+000  0.216578331269035E+000  0.109667171279660E+000  0.247137061803750E-001 -0.336973476018721E-001 -0.818579561596298E-001 -0.130541169331146E+000 -0.182341184014015E+000 -0.226194731328263E+000 -0.245295571992168E+000 -0.232754255444633E+000 -0.197153372976116E+000 -0.152729305422397E+000 -0.105162531219422E+000 -0.485491481601725E-001 -0.135882719199399E-002  0.131812313349182E+000  0.836711904902246E+000  0.133498630090899E+001  0.273632724817180E+000 -0.135060327705654E+001 -0.152764381851956E+001 -0.102375985208489E+001 -0.779547335920544E+000 -0.683837891923512E+000 -0.628266525043201E+000 -0.596919083456495E+000 -0.571427515134991E+000 -0.529917379688381E+000 -0.461010074039568E+000 -0.372140945295692E+000 -0.281202766458978E+000 -0.198774399376681E+000 -0.120511530256768E+000 -0.339130108195615E-001  0.781306668152779E-001  0.210055690058015E+000  0.344192585667798E+000  0.447107003215500E+000
  0.103400000000000E+001  0.413057737403890E+000  0.327390146134643E+000  0.216568840908422E+000  0.109663296485654E+000  0.247152634917162E-001 -0.336908228447158E-001 -0.818467265558840E-001 -0.130525166765887E+000 -0.182320084979886E+000 -0.226168227359648E+000 -0.245263584854186E+000 -0.232716794741986E+000 -0.197110091037814E+000 -0.152679034904618E+000 -0.105102976171895E+000 -0.484763675557556E-001 -0.126181597124652E-002  0.131955560761987E+000  0.836855373278119E+000  0.133496141865903E+001  0.273378502051014E+000 -0.135093456422738E+001 -0.152786308084626E+001 -0.102388763436854E+001 -0.779636585370310E+000 -0.683907906582725E+000 -0.628323943752106E+000 -0.596967481407709E+000 -0.571468714254647E+000 -0.529952084790013E+000 -0.461038502281307E+000 -0.372163349028537E+000 -0.281219596704741E+000 -0.198786086994001E+000 -0.120518219339850E+000 -0.339144984600810E-001  0.781347821121155E-001  0.210065514584870E+000  0.344207974294775E+000  0.447126458432577E+000
  0.103600000000000E+001  0.413043091179914E+000  0.327378734879291E+000  0.216561788549591E+000  0.109660661013052E+000  0.247169191176441E-001 -0.336852213620257E-001 -0.818373662828731E-001 -0.130511973372705E+000 -0.182302780146949E+000 -0.226146542938886E+000 -0.245237437026474E+000 -0.232686172809905E+000 -0.197074699020518E+000 -0.152637913270513E+000 -0.105054244698590E+000 -0.484167988153891E-001 -0.118240434389709E-002  0.132072827000351E+000  0.836972837805675E+000  0.133494104159171E+001  0.273170350136724E+000 -0.135120570940668E+001 -0.152804244349529E+001 -0.102399210937463E+001 -0.779709513607978E+000 -0.683965079477117E+000 -0.628370797536965E+000 -0.597006943819457E+000 -0.571502281740663E+000 -0.529980347839018E+000 -0.461061659782982E+000 -0.372181629211292E+000 -0.281233385117044E+000 -0.198795749866312E+000 -0.120523893215125E+000 -0.339160451876435E-001  0.781376563690162E-001  0.210072874083038E+000  0.344219696842518E+000  0.447141370825219E+000
  0.103800000000000E+001  0.413031725054327E+000  0.327369946950312E+000  0.216556473463570E+000  0.109658871344842E+000  0.247185684943522E-001 -0.336803931543516E-001 -0.818294937312670E-001 -0.130500981339532E+000 -0.182288428300173E+000 -0.226128597771411E+000 -0.245215814562127E+000 -0.232660850455460E+000 -0.197045423229936E+000 -0.152603886562836E+000 -0.105013909627544E+000 -0.483674820558298E-001 -0.111665150633093E-002  0.132169928133596E+000  0.837070116163698E+000  0.133492416518625E+001  0.272997971272037E+000 -0.135143017490589E+001 -0.152819085370597E+001 -0.102407851189925E+001 -0.779769792712349E+000 -0.684012305667486E+000 -0.628409473205506E+000 -0.597039493924103E+000 -0.571529949105626E+000 -0.530003631510765E+000 -0.461080740171262E+000 -0.372196711317587E+000 -0.281244800170137E+000 -0.198803810965276E+000 -0.120528726999894E+000 -0.339175577580730E-001  0.781396827407431E-001  0.210078475890710E+000  0.344228770381814E+000  0.447152983301883E+000
  0.104000000000000E+001  0.413022778484167E+000  0.327363083117094E+000  0.216552414266617E+000  0.109657664134143E+000  0.247201540972901E-001 -0.336762135225483E-001 -0.818228175072386E-001 -0.130491735607383E+000 -0.182276404676210E+000 -0.226113592378308E+000 -0.245197746288550E+000 -0.232639690126695E+000 -0.197020952346147E+000 -0.152575435645424E+000 -0.104980175170766E+000 -0.483262267023004E-001 -0.106164041680903E-002  0.132251169717266E+000  0.837151515831186E+000  0.133491004424009E+001  0.272853736808195E+000 -0.135161792948333E+001 -0.152831493371627E+001 -0.102415071499837E+001 -0.779820138452301E+000 -0.684051725250597E+000 -0.628441734287047E+000 -0.597066625867312E+000 -0.571552994543345E+000 -0.530023015608804E+000 -0.461096625697824E+000 -0.372209281770591E+000 -0.281254341561756E+000 -0.198810592504750E+000 -0.120532864665268E+000 -0.339189881612475E-001  0.781411227978920E-001  0.210082804551388E+000  0.344235898988713E+000  0.447162160082129E+000
