# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.194354205692912E+001  0.179313805915763E+001  0.164270813504688E+001  0.149215298948141E+001  0.134132397942318E+001  0.119014636069891E+001  0.103866072234585E+001  0.887051244259697E+000  0.735598938332405E+000  0.588624786792652E+000  0.587185936081897E+000  0.732214426160011E+000  0.882890152585483E+000  0.103414666869496E+001  0.118568300935415E+001  0.133729421067545E+001  0.148883343234651E+001  0.164027374001411E+001  0.179166306754933E+001  0.194303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dFz
  0.650000000000000E+001 -0.399881818790564E-003 -0.215039130731471E-003  0.317488722073227E-003  0.731129027840453E-003  0.904690536320092E-003  0.722032897055917E-003  0.229271575948990E-003 -0.961790312767477E-004 -0.396856403583399E-004  0.543222372859822E-002 -0.196915805236703E-001 -0.512405535077869E-002 -0.291677687246218E-002 -0.159281723678826E-002 -0.310509265281291E-003  0.380969154266106E-003  0.512829923702774E-003  0.300938113376488E-003 -0.514952597645526E-004 -0.273220657424524E-003
  0.700000000000000E+001 -0.398029607070551E-003 -0.214168921762820E-003  0.317531573349286E-003  0.730513157888117E-003  0.903664749295176E-003  0.720999651285501E-003  0.228799222830535E-003 -0.957990021460670E-004 -0.374628046189473E-004  0.544646566901895E-002 -0.197372011218370E-001 -0.513088867639921E-002 -0.291988143526705E-002 -0.159423093487670E-002 -0.310745869873498E-003  0.381220674888093E-003  0.513091988905022E-003  0.300939564580167E-003 -0.518768616731678E-004 -0.274061319663407E-003
  0.750000000000000E+001 -0.396719140872937E-003 -0.213654592745055E-003  0.317368239541333E-003  0.729821013844554E-003  0.902662830243858E-003  0.720038998645092E-003  0.228370491303746E-003 -0.954597342150647E-004 -0.355108047903757E-004  0.545874121267316E-002 -0.197762253858867E-001 -0.513682084545062E-002 -0.292261020849020E-002 -0.159548961436518E-002 -0.310960491549237E-003  0.381457842922444E-003  0.513367621426257E-003  0.301016192753795E-003 -0.521118188321967E-004 -0.274666351717485E-003
  0.800000000000000E+001 -0.396199224994444E-003 -0.213825470444089E-003  0.316587701854733E-003  0.728606742843108E-003  0.901263983520919E-003  0.718834847406091E-003  0.227865482529338E-003 -0.950788263073405E-004 -0.334247092305434E-004  0.547115957499052E-002 -0.198146146739311E-001 -0.514293704988195E-002 -0.292553641515875E-002 -0.159689291935194E-002 -0.311212321367649E-003  0.381762443542287E-003  0.513799236937298E-003  0.301315567218840E-003 -0.520861803389131E-004 -0.274956395182020E-003
  0.850000000000000E+001 -0.396875472242928E-003 -0.215169245714608E-003  0.314610884273733E-003  0.726253958702089E-003  0.898887812610354E-003  0.716947825714695E-003  0.227115206541512E-003 -0.945378329447714E-004 -0.306088173644825E-004  0.548689627980396E-002 -0.198614904424924E-001 -0.515084807259217E-002 -0.292949027454562E-002 -0.159886673139946E-002 -0.311584288686969E-003  0.382248431830387E-003  0.514586241431690E-003  0.302049763386128E-003 -0.516246449690242E-004 -0.274790476037987E-003
  0.900000000000000E+001 -0.398999402532339E-003 -0.218010865891162E-003  0.311030781322354E-003  0.722298137890103E-003  0.895062333108142E-003  0.713992400665966E-003  0.225960427820705E-003 -0.937164726607541E-004 -0.264119436065194E-004  0.550968852584577E-002 -0.199278387770912E-001 -0.516233422834898E-002 -0.293532183262319E-002 -0.160181697421730E-002 -0.312149480754042E-003  0.383008063596252E-003  0.515873797244755E-003  0.303355465526607E-003 -0.506294546440850E-004 -0.274106228869834E-003
  0.950000000000000E+001 -0.399497403107545E-003 -0.218978140077858E-003  0.309587353289365E-003  0.720486411903788E-003  0.893093925041810E-003  0.712298889739730E-003  0.225232198671806E-003 -0.931462958827924E-004 -0.231570681380091E-004  0.552965122219245E-002 -0.199901252805389E-001 -0.517183733204079E-002 -0.293965529738358E-002 -0.160380741965970E-002 -0.312494808682762E-003  0.383421716562782E-003  0.516488084195546E-003  0.303886983499187E-003 -0.503122976713256E-004 -0.274004962489963E-003
  0.100000000000000E+002 -0.396579471457798E-003 -0.216325589226225E-003  0.312072930781421E-003  0.722573905385986E-003  0.894569864988777E-003  0.713056742297008E-003  0.225392654327948E-003 -0.931591915200142E-004 -0.225762112003268E-004  0.553718288946391E-002 -0.200197773651679E-001 -0.517454451354120E-002 -0.294010708910406E-002 -0.160364902930920E-002 -0.312391901212864E-003  0.383172949588413E-003  0.515850778936394E-003  0.302967618259474E-003 -0.513377025159069E-004 -0.275177377760200E-003
  0.105000000000000E+002 -0.394515564512717E-003 -0.214827816239685E-003  0.313136846845774E-003  0.723205530155867E-003  0.894812101960823E-003  0.713026222961947E-003  0.225313834571317E-003 -0.930583408082110E-004 -0.217903165432051E-004  0.554327657189349E-002 -0.200411986525195E-001 -0.517729123482699E-002 -0.294113902494771E-002 -0.160401150612309E-002 -0.312428187025748E-003  0.383163283216374E-003  0.515698537984765E-003  0.302605057898511E-003 -0.519018793689193E-004 -0.276002954846426E-003
  0.110000000000000E+002 -0.393294061471706E-003 -0.214018018767685E-003  0.313618814069734E-003  0.723387852250925E-003  0.894756599808548E-003  0.712850422939553E-003  0.225205655502033E-003 -0.929555638807873E-004 -0.211091535815659E-004  0.554804496094475E-002 -0.200574191187506E-001 -0.517954933093792E-002 -0.294208386496977E-002 -0.160440106099933E-002 -0.312484014188455E-003  0.383203776828563E-003  0.515684016266177E-003  0.302459307645845E-003 -0.521977215270226E-004 -0.276487443506113E-003
  0.115000000000000E+002 -0.392501524554952E-003 -0.213512493846843E-003  0.313891630108563E-003  0.723452741001487E-003  0.894662173532799E-003  0.712686979861358E-003  0.225114874613480E-003 -0.928732561121434E-004 -0.205795650546803E-004  0.555167986383224E-002 -0.200697170109143E-001 -0.518128978294055E-002 -0.294282810538559E-002 -0.160471747757357E-002 -0.312531973718212E-003  0.383244909423391E-003  0.515697752889467E-003  0.302385231637523E-003 -0.523785931343172E-004 -0.276800249583974E-003
  0.120000000000000E+002 -0.391941596695533E-003 -0.213165653976696E-003  0.314064215724369E-003  0.723472270799357E-003  0.894567384389822E-003  0.712548312402634E-003  0.225041260197892E-003 -0.928080823671242E-004 -0.201672225180062E-004  0.555447552415567E-002 -0.200791404052215E-001 -0.518263740079841E-002 -0.294341162691663E-002 -0.160496955651669E-002 -0.312571193651509E-003  0.383280813052142E-003  0.515718232208464E-003  0.302342429466409E-003 -0.525014513359625E-004 -0.277021209550420E-003
