# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.679354205692912E+001  0.664313805915763E+001  0.649270813504688E+001  0.634215298948141E+001  0.619132397942318E+001  0.604014636069891E+001  0.588866072234585E+001  0.573705124425970E+001  0.558559893833240E+001  0.543862478679265E+001  0.543718593608190E+001  0.558221442616001E+001  0.573289015258548E+001  0.588414666869496E+001  0.603568300935415E+001  0.618729421067545E+001  0.633883343234651E+001  0.649027374001411E+001  0.664166306754933E+001  0.679303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dFz
  0.600000000000000E+001 -0.253224084320374E-003 -0.738869493140609E-004  0.462392243550432E-003  0.864434292219525E-003  0.101165090754287E-002  0.788590662841330E-003  0.248905833763364E-003 -0.105257029362875E-003 -0.561707630856149E-004  0.561792043791946E-002 -0.219805585024410E-001 -0.563929760130660E-002 -0.320044630029870E-002 -0.174627247090869E-002 -0.341697086084301E-003  0.425521888288624E-003  0.593218113367322E-003  0.389766303109776E-003  0.262930012355720E-004 -0.204385270779326E-003
  0.650000000000000E+001 -0.248183883310855E-003 -0.706635806320807E-004  0.464149751638102E-003  0.864921234970683E-003  0.101119293620569E-002  0.787728264356718E-003  0.248426719712365E-003 -0.104827341360987E-003 -0.534382063756117E-004  0.563608020909875E-002 -0.220461800840687E-001 -0.564856928720460E-002 -0.320446626856952E-002 -0.174800869618245E-002 -0.341963779786399E-003  0.425750162128481E-003  0.593274492009884E-003  0.389280496230008E-003  0.251318268001392E-004 -0.206388386298499E-003
  0.700000000000000E+001 -0.244836827667311E-003 -0.686064874769473E-004  0.465155416416808E-003  0.865034783864454E-003  0.101066606311630E-002  0.786972473229146E-003  0.248034069098153E-003 -0.104487046209066E-003 -0.513266168065297E-004  0.564983572683690E-002 -0.220956064084681E-001 -0.565564819835421E-002 -0.320758355355024E-002 -0.174938178935479E-002 -0.342181853588869E-003  0.425954039513585E-003  0.593393701193414E-003  0.389029183147582E-003  0.243958024215016E-004 -0.207723078403679E-003
  0.750000000000000E+001 -0.242553052544568E-003 -0.672737250502646E-004  0.465706644373040E-003  0.864937333618660E-003  0.101012166411340E-002  0.786305554694884E-003  0.247704875673985E-003 -0.104209907545952E-003 -0.496459738399230E-004  0.566056512687269E-002 -0.221338429365290E-001 -0.566119817681756E-002 -0.321006152925295E-002 -0.175049102025616E-002 -0.342362581630015E-003  0.426133687856147E-003  0.593537734746226E-003  0.388910998783948E-003  0.239177546226217E-004 -0.208642416993920E-003
  0.800000000000000E+001 -0.240956933608516E-003 -0.663917891838315E-004  0.465996819613690E-003  0.864743291243744E-003  0.100960494615570E-002  0.785725490278592E-003  0.247427651431639E-003 -0.103980887496116E-003 -0.482796790542296E-004  0.566914945623053E-002 -0.221641753815287E-001 -0.566564314288470E-002 -0.321206343940411E-002 -0.175139577203251E-002 -0.342512242608718E-003  0.426288066303907E-003  0.593681320142764E-003  0.388863041525952E-003  0.235975228372711E-004 -0.209294055651216E-003
  0.850000000000000E+001 -0.239758168679489E-003 -0.657332671809153E-004  0.466205756709223E-003  0.864581277509045E-003  0.100919372469687E-002  0.785265753910908E-003  0.247207632430166E-003 -0.103798610959996E-003 -0.471901556205761E-004  0.567599147342026E-002 -0.221883370670755E-001 -0.566917734883531E-002 -0.321364978161311E-002 -0.175210998389085E-002 -0.342629946884379E-003  0.426409372337644E-003  0.593795197917872E-003  0.388830366583746E-003  0.233577129819512E-004 -0.209784854462127E-003
  0.900000000000000E+001 -0.238730142489788E-003 -0.651098105499170E-004  0.466495935822513E-003  0.864583574684861E-003  0.100898540934225E-002  0.784984494353340E-003  0.247062569694151E-003 -0.103672527699984E-003 -0.464053965277198E-004  0.568108459839890E-002 -0.222066377049270E-001 -0.567178092660962E-002 -0.321478473403773E-002 -0.175260453048733E-002 -0.342707796993584E-003  0.426482483343077E-003  0.593842844272169E-003  0.388758273249380E-003  0.231309538725073E-004 -0.210200436658643E-003
  0.950000000000000E+001 -0.237818199318911E-003 -0.645030842731303E-004  0.466856459975450E-003  0.864720404126007E-003  0.100894327301780E-002  0.784851245988198E-003  0.246980706012074E-003 -0.103594779075433E-003 -0.458888074124564E-004  0.568460760584827E-002 -0.222195993546653E-001 -0.567355262615269E-002 -0.321552403496434E-002 -0.175290971929122E-002 -0.342751740088653E-003  0.426514817458542E-003  0.593833774308368E-003  0.388649228561979E-003  0.229066123611931E-004 -0.210567972990089E-003
  0.100000000000000E+002 -0.237128024974359E-003 -0.640522890079219E-004  0.467114736671973E-003  0.864807640881546E-003  0.100889796471342E-002  0.784742990968657E-003  0.246917197888981E-003 -0.103535976730983E-003 -0.455057707151747E-004  0.568718149737660E-002 -0.222290266996230E-001 -0.567485831682331E-002 -0.321607734412107E-002 -0.175314224361536E-002 -0.342786086854237E-003  0.426541733540056E-003  0.593832291718157E-003  0.388572555972029E-003  0.227404401923539E-004 -0.210845798609538E-003
  0.105000000000000E+002 -0.236633758502381E-003 -0.637363829647748E-004  0.467286710043373E-003  0.864853890664647E-003  0.100884938375336E-002  0.784653262993347E-003  0.246867192354431E-003 -0.103490883318537E-003 -0.452176548007334E-004  0.568909008537771E-002 -0.222359821829140E-001 -0.567583333701504E-002 -0.321649637842091E-002 -0.175332142194867E-002 -0.342813295471110E-003  0.426564683131263E-003  0.593837481805070E-003  0.388523511991094E-003  0.226246921257906E-004 -0.211044565247541E-003
  0.110000000000000E+002 -0.236280438494694E-003 -0.635142555317798E-004  0.467402562778742E-003  0.864877859901601E-003  0.100880521263694E-002  0.784581572622273E-003  0.246828465637558E-003 -0.103456522391122E-003 -0.450006768927221E-004  0.569051481658271E-002 -0.222411572349461E-001 -0.567656397004439E-002 -0.321681298218611E-002 -0.175345820876441E-002 -0.342834421180787E-003  0.426583303441442E-003  0.593844770130715E-003  0.388491675020153E-003  0.225436470024600E-004 -0.211186652943098E-003
  0.115000000000000E+002 -0.236025194663970E-003 -0.633559359353593E-004  0.467482124860043E-003  0.864889807886763E-003  0.100876762538919E-002  0.784525142028375E-003  0.246798612439344E-003 -0.103430325341274E-003 -0.448365944083380E-004  0.569158538810821E-002 -0.222450352674580E-001 -0.567711413190764E-002 -0.321705265947511E-002 -0.175356244747256E-002 -0.342850696284269E-003  0.426598055254088E-003  0.593852073069922E-003  0.388470449102727E-003  0.224859690003304E-004 -0.211289427302156E-003
